Hospital ID,Postcode,Team type,Routinely admitting acute team,Strategic Clinical Network,Health Board / Trust,Stroke Team,Easting,Northing,Fixed open (1) or closed (-1),Modelled admissions,Modelled admissions
1,RM7 0AG,Routinely admitting team,1,London SCN,Barking; Havering and Redbridge University Hospitals NHS Trust,Queen's Hospital; Rom Valley Way; Romford,551118,187780,,1086.521001897,1086.521001897
2,E1 1BB,Routinely admitting team,1,London SCN,Barts Health NHS Trust,The Royal London Hospital,534829,181798,,1572.203229414,1572.203229414
3,SW6 6SX,Routinely admitting team,1,London SCN,Imperial College Healthcare NHS Trust,Charing Cross Hospital; Fulham Palace Road; London,524226,176487,,621.339170685,621.339170685
4,SE5 9RW,Routinely admitting team,1,London SCN,King's College Hospital NHS Foundation Trust,King's College Hospital HASU; Bessemer Road; London,532536,176228,,968.327359267,968.327359267
5,BR6 8ND,Routinely admitting team,1,London SCN,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital; Orpington,543443,165032,-1,673.982163534,673.982163534
6,HA1 3UJ,Routinely admitting team,1,London SCN,London North West Healthcare NHS Trust,Northwick Park Hospital; Watford Road; Harrow,516376,187616,-1,1067.539153516,1067.539153516
7,SW17 0QT,Routinely admitting team,1,London SCN,St George's Healthcare NHS Trust,St George's Hospital; Blackshaw Road; London,526925,171324,,610.962426889,610.962426889
8,NW1 2BU,Routinely admitting team,1,London SCN,University College London Hospitals NHS Foundation Trust,University College London Hospital; Euston Road; London,529347,182309,,1116.891959355,1116.891959355
9,DE22 3NE,Routinely admitting team,1,East Midlands SCN,Derby Hospitals NHS Foundation Trust,Royal Derby Hospital,432746,334973,,871.393386803,871.393386803
10,NN1 5BD,Routinely admitting team,1,East Midlands SCN,Northampton General Hospital NHS Trust,Northampton General Hospital Cliftonville,476319,260349,,940.993497581,940.993497581
11,NG5 1PB,Routinely admitting team,1,East Midlands SCN,Nottingham University Hospitals NHS Trust,Nottingham City Hospital; Nottingham,456490,344070,1,1224.961949508,1224.961949508
12,NG17 4JL,Routinely admitting team,1,East Midlands SCN,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,451460,359962,,559.331799259,559.331799259
13,LN2 5QY,Routinely admitting team,1,East Midlands SCN,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital; Lincoln,498908,371749,,572.998730098,572.998730098
14,PE21 9QS,Routinely admitting team,1,East Midlands SCN,United Lincolnshire Hospitals NHS Trust,Pilgrim Hospital; Boston,533673,345607,,464.4225573,464.4225573
15,LE1 5WW,Routinely admitting team,1,East Midlands SCN,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,458660,303691,,1079.434445154,1079.434445154
16,SS16 5NL,Routinely admitting team,1,East of England SCN,Basildon and Thurrock University Hospitals NHS Foundation Trust,Basildon University Hospital,569975,187156,,825.583859353,825.583859353
17,MK42 9DJ,Routinely admitting team,1,East of England SCN,Bedford Hospital NHS Trust,Bedford Hospital,504661,248873,,360.908210737,360.908210737
18,CB2 0QQ,Routinely admitting team,1,East of England SCN,Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,546375,254988,1,537.565946442,537.565946442
19,CO4 5JL,Routinely admitting team,1,East of England SCN,Colchester Hospital University NHS Foundation Trust,Colchester General Hospital; Turner Road; Colchester,599511,227486,,687.649094377,687.649094377
20,SG1 4AB,Routinely admitting team,1,East of England SCN,East and North Hertfordshire NHS Trust,Lister Hospital,522999,226630,,682.587268152,682.587268152
21,IP4 5PD,Routinely admitting team,1,East of England SCN,Ipswich Hospital NHS Trust,Ipswich Hospital,619336,244656,,484.669862258,484.669862258
22,NR31 6LA,Routinely admitting team,1,East of England SCN,James Paget University Hospitals NHS Foundation Trust,James Paget Hospitals; Lowestoft Road; Gorleston-on-Sea,652093,302477,,484.416770933,484.416770933
23,LU4 0DZ,Routinely admitting team,1,East of England SCN,Luton and Dunstable University Hospital NHS Foundation Trust,Luton and Dunstable Hospital; Lewsey Road; Luton,504961,222970,,539.08449431,539.08449431
24,CM1 7ET,Routinely admitting team,1,East of England SCN,Mid Essex Hospital Services NHS Trust,Broomfield Hospital,570230,211319,,493.528058178,493.528058178
25,NR4 7UY,Routinely admitting team,1,East of England SCN,Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,618143,307129,,1060.705688082,1060.705688082
26,PE3 9GZ,Routinely admitting team,1,East of England SCN,Peterborough and Stamford Hospitals NHS Foundation Trust,Peterborough City Hospital,516674,299847,,713.717499516,713.717499516
27,PE30 4ET,Routinely admitting team,1,East of England SCN,Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,565228,320492,,574.264186658,574.264186658
28,SS0 0RY,Routinely admitting team,1,East of England SCN,Southend University Hospital NHS Foundation Trust,Southend Hospital,586491,187309,,478.089488141,478.089488141
29,WD18 0HB,Routinely admitting team,1,East of England SCN,West Hertfordshire Hospitals NHS Trust,Watford General Hospital; vicarage road; Watford,510505,195664,,1275.07402926,1275.07402926
30,IP33 2QZ,Routinely admitting team,1,East of England SCN,West Suffolk NHS Foundation Trust,West Suffolk Hospital,585110,262732,,429.242864958,429.242864958
31,DE13 0RB,Routinely admitting team,1,West Midlands SCN,Burton Hospitals NHS Foundation Trust,Queens Hospital Burton upon Trent,423255,324526,,340.660905791,340.660905791
32,DY1 2HQ,Routinely admitting team,1,West Midlands SCN,Dudley Group of Hospitals NHS Foundation Trust,Russells Hall Hospital,392052,289456,,736.495717571,736.495717571
33,CV10 7DJ,Routinely admitting team,1,West Midlands SCN,George Eliot Hospital NHS Trust,George Eliot Hospital,435493,290649,,434.304691191,434.304691191
34,B9 5SS,Routinely admitting team,1,West Midlands SCN,Heart of England NHS Foundation Trust,Birmingham Heartlands Hospital; Bordesley Green East; Birmingham,411645,286935,,1043.49547889,1043.49547889
35,WV10 0QP,Routinely admitting team,1,West Midlands SCN,Royal Wolverhampton NHS Trust,New Cross Hospital; Wednesfield Road;  Wolverhampton,393625,300219,,518.837189353,518.837189353
36,B71 4HJ,Routinely admitting team,1,West Midlands SCN,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital; Lyndon; West Bromwich,400919,292165,,627.666453456,627.666453456
37,TF1 6TF,Routinely admitting team,1,West Midlands SCN,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital; apley castle; Telford,365542,312839,,851.652264476,851.652264476
38,CV34 5BW,Routinely admitting team,1,West Midlands SCN,South Warwickshire NHS Foundation Trust,Warwick Hospital; Lakin Road;  Warwick,428507,265853,,457.336000568,457.336000568
39,B15 2TH,Routinely admitting team,1,West Midlands SCN,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston; Birmingham,404278,283916,1,620.326805415,620.326805415
40,CV2 2DX,Routinely admitting team,1,West Midlands SCN,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry; Clifford Bridge Road; Coventry,438289,280506,1,509.472810819,509.472810819
41,ST4 6QG,Routinely admitting team,1,West Midlands SCN,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital; Newcastle Road; Stroke-on-Trent ST4 6QG,385678,345211,1,987.562298956,987.562298956
42,WS2 9PS,Routinely admitting team,1,West Midlands SCN,Walsall Healthcare NHS Trust,Manor Hospital; Moat Road; Walsall,400170,298280,,692.964011931,692.964011931
43,WR5 1DD,Routinely admitting team,1,West Midlands SCN,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital; Charles Hastings Way; Worcester,387713,254788,,698.7851121,698.7851121
44,HR1 2ER,Routinely admitting team,1,West Midlands SCN,Wye Valley NHS Trust,Hereford County Hospital,351710,240083,,385.711159301,385.711159301
45,L9 7AL,Routinely admitting team,1,Cheshire and Mersey SCN,Aintree University Hospitals NHS Foundation Trust,University Hospital Aintree; Longmoor Lane; Liverpool,338285,397024,1,595.270765545,595.270765545
46,CH2 1UL,Routinely admitting team,1,Cheshire and Mersey SCN,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital; Liverpool Road; Chester,340130,368347,,369.00713272,369.00713272
47,CW1 4QJ,Routinely admitting team,1,Cheshire and Mersey SCN,Mid Cheshire Hospitals NHS Foundation Trust,Leighton Hospital,368248,357940,,493.528058162,493.528058162
48,L7 8XP,Routinely admitting team,1,Cheshire and Mersey SCN,Royal Liverpool and Broadgreen University Hospitals NHS Trust,Royal Liverpool University Hospital,335962,390733,,439.872700047,439.872700047
49,PR8 6PN,Routinely admitting team,1,Cheshire and Mersey SCN,Southport and Ormskirk Hospital NHS Trust,Southport and Formby District General,335417,415683,,299.153930645,299.153930645
50,L35 5DR,Routinely admitting team,1,Cheshire and Mersey SCN,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital; Warrington Road; Rainhill; Prescot,347931,391806,,748.897191856,748.897191856
51,WA5 1QG,Routinely admitting team,1,Cheshire and Mersey SCN,Warrington and Halton Hospitals NHS Foundation Trust,Warrington Hospital; Lovely Lane; Warrington,359485,388745,,811.157654582,811.157654582
52,CH49 5PE,Routinely admitting team,1,Cheshire and Mersey SCN,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital; Upton; Wirral,327162,386488,,630.956640527,630.956640527
53,FY3 8NR,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Victoria Hospital; Whiney Heys Road; Blackpool,333194,436522,,538.831403002,538.831403002
54,BB2 3HH,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,East Lancashire Hospitals NHS Trust,Royal Blackburn Hospital; Haslingden Road; Blackburn,369574,426674,,795.972175862,795.972175862
